Timestamp,Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
11/18/2021 5:41:00,1962,Best Choreography,Joe Layton,No Strings
11/18/2021 5:41:17,1962,Best Choreography,Agnes de Mille,Kwamina
11/18/2021 5:41:34,1962,Conductor And Musical Director,Elliot Lawrence,How to Succeed in Business Without Really Trying
11/18/2021 5:42:26,1962,Best Costume Design of a Musical,Lucinda Ballard,The Gay Life
11/18/2021 5:42:45,1962,Best Direction of a Musical,Abe Burrows,How to Succeed in Business Without Really Trying
11/18/2021 5:43:09,1962,Best Direction of a Play,Noel Willman,A Man for All Seasons
11/18/2021 5:43:48,1962,Best Musical,How to Succeed in Business Without Really Trying,How to Succeed in Business Without Really Trying
11/18/2021 5:44:36,1962,Best Original Score,Richard Rodgers,No Strings
11/18/2021 5:47:10,1962,Best Play,A Man for All Seasons,A Man for All Seasons
11/18/2021 5:48:05,1962,Best Producer of a Musical,Cy Feuer,How to Succeed in Business Without Really Trying
11/18/2021 5:48:05,1962,Best Producer of a Musical,Ernest Martin,How to Succeed in Business Without Really Trying
11/18/2021 5:48:45,1962,Best Producer of a Play,Robert Whitehead,A Man for All Seasons
11/18/2021 5:48:45,1962,Best Producer of a Play,Roger L. Stevens,A Man for All Seasons
11/18/2021 5:49:28,1962,Best Scenic Design of a Musical,Will Steven Armstrong,Carnival
11/18/2021 5:50:39,1963,Best Performance by an Actor in a Leading Role in a Musical,Zero Mostel,A Funny Thing Happened on the Way to the Forum
11/18/2021 5:51:30,1963,Best Performance by an Actor in a Leading Role in a Play,Arthur Hill,Who's Afraid of Virginia Woolf?
11/18/2021 5:52:17,1963,Best Performance by an Actress in a Leading Role in a Musical,Vivien Leigh,Tovarich
11/18/2021 5:52:46,1963,Best Performance by an Actress in a Leading Role in a Play,Uta Hagen,Who's Afraid of Virginia Woolf?
11/18/2021 5:53:40,1963,Best Performance by an Actor in a Featured Role in a Musical,David Burns,A Funny Thing Happened on the Way to the Forum
11/18/2021 5:53:58,1963,Best Performance by an Actor in a Featured Role in a Play,Alan Arkin,Enter Laughing
11/18/2021 5:55:24,1963,Best Performance by an Actress in a Featured Role in a Musical,Anna Quayle,Stop the World - I Want to Get Off
11/18/2021 5:55:44,1963,Best Performance by an Actress in a Featured Role in a Play,Sandy Dennis,A Thousand Clowns
11/18/2021 5:56:26,1963,Best Book of a Musical,Burt Shevelove,A Funny Thing Happened on the Way to the Forum
11/18/2021 5:56:26,1963,Best Book of a Musical,Larry Gelbart,A Funny Thing Happened on the Way to the Forum
11/18/2021 5:57:16,1963,Best Choreography,Bob Fosse,Little Me
11/18/2021 5:57:50,1963,Conductor And Musical Director,Donald Pippin,Oliver!
11/18/2021 5:58:55,1963,Best Costume Design of a Play,Anthony Powell,The School for Scandal
11/18/2021 5:59:20,1963,Best Direction of a Musical,George Abbott,A Funny Thing Happened on the Way to the Forum
11/18/2021 6:00:16,1963,Best Direction of a Play,Alan Schneider,Who's Afraid of Virginia Woolf?
11/18/2021 6:00:29,1963,Best Musical,A Funny Thing Happened on the Way to the Forum,A Funny Thing Happened on the Way to the Forum
11/18/2021 6:01:16,1963,Best Play,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?
11/18/2021 6:01:36,1963,Best Original Score,Lionel Bart,Oliver!
11/18/2021 6:01:54,1963,Best Producer of a Musical,Harold Prince,A Funny Thing Happened on the Way to the Forum
11/18/2021 6:03:02,1963,Best Producer of a Play,Richard Barr,Who's Afraid of Virginia Woolf?
11/18/2021 6:03:02,1963,Best Producer of a Play,Clinton Wilder,Who's Afraid of Virginia Woolf?
11/18/2021 6:03:02,1963,Best Producer of a Play,Theatre 1963,Who's Afraid of Virginia Woolf?
11/18/2021 6:03:49,1963,Best Scenic Design of a Musical,Sean Kenny,Oliver!
11/19/2021 13:18:50,1964,Best Performance by an Actor in a Leading Role in a Musical,Bert Lahr,Foxy
11/19/2021 13:19:16,1964,Best Performance by an Actor in a Leading Role in a Play,Alec Guinness,Dylan
11/19/2021 13:19:38,1964,Best Performance by an Actress in a Leading Role in a Musical,Carol Channing,"Hello, Dolly!"
11/19/2021 13:20:07,1964,Best Performance by an Actress in a Leading Role in a Play,Sandy Dennis,Any Wednesday
11/19/2021 13:20:30,1964,Best Performance by an Actor in a Featured Role in a Musical,Jack Cassidy,She Loves Me
11/19/2021 13:20:47,1964,Best Performance by an Actor in a Featured Role in a Play,Hume Cronyn,Hamlet
11/19/2021 13:21:15,1964,Best Performance by an Actress in a Featured Role in a Musical,Tessie O'Shea,The Girl Who Came to Supper
11/19/2021 13:21:34,1964,Best Performance by an Actress in a Featured Role in a Play,Barbara Loden,After the Fall
11/19/2021 13:22:17,1964,Best Book of a Musical,Michael Stewart,"Hello, Dolly!"
11/19/2021 13:22:56,1964,Best Choreography,Gower Champion,"Hello, Dolly!"
11/19/2021 13:23:21,1964,Conductor And Musical Director,Shepard Coleman,"Hello, Dolly!"
11/19/2021 13:23:52,1964,Best Costume Design of a Musical,Freddy Wittop,"Hello, Dolly!"
11/19/2021 13:24:15,1964,Best Direction of a Musical,Gower Champion,"Hello, Dolly!"
11/19/2021 13:24:58,1964,Best Direction of a Play,Mike Nichols,Barefoot in the Park
11/19/2021 13:25:20,1964,Best Musical,"Hello, Dolly!","Hello, Dolly!"
11/19/2021 13:25:40,1964,Best Original Score,Jerry Herman,"Hello, Dolly!"
11/19/2021 13:26:01,1964,Best Play,Luther,Luther
11/19/2021 13:26:22,1964,Best Producer of a Musical,David Merrick,"Hello, Dolly!"
11/19/2021 13:26:54,1964,Best Producer of a Play,Herman Shumlin,The Deputy
11/19/2021 13:27:34,1964,Best Scenic Design of a Musical,Oliver Smith,"Hello, Dolly!"
11/19/2021 13:28:06,1965,Best Performance by an Actor in a Leading Role in a Musical,Zero Mostel,Fiddler on the Roof
11/19/2021 13:28:26,1965,Best Performance by an Actor in a Leading Role in a Play,Walter Matthau,The Odd Couple
11/19/2021 13:29:05,1965,Best Performance by an Actress in a Leading Role in a Musical,Liza Minnelli,"Flora, the Red Menace"
11/19/2021 13:31:04,1965,Best Performance by an Actress in a Leading Role in a Play,Irene Worth,Tiny Alice
11/19/2021 13:31:57,1965,Best Performance by an Actor in a Featured Role in a Musical,Victor Spinetti,"Oh, What a Lovely War"
11/19/2021 13:32:18,1965,Best Performance by an Actor in a Featured Role in a Play,Jack Albertson,The Subject was Roses
11/19/2021 13:32:49,1965,Best Performance by an Actress in a Featured Role in a Musical,Maria Karnilova,Fiddler on the Roof
11/19/2021 13:33:30,1965,Best Performance by an Actress in a Featured Role in a Play,Alice Ghostley,The Sign in Sidney Brustein's Window
11/19/2021 13:33:53,1965,Best Author of a Play,Neil Simon,The Odd Couple
11/19/2021 13:34:08,1965,Best Book of a Musical,Joseph Stein,Fiddler on the Roof
11/19/2021 13:34:26,1965,Best Choreography,Jerome Robbins,Fiddler on the Roof
11/19/2021 13:34:51,1965,Best Costume Design of a Musical,Patricia Zipprodt,Fiddler on the Roof
11/19/2021 13:35:08,1965,Best Direction of a Musical,Jerome Robbins,Fiddler on the Roof
11/19/2021 13:35:34,1965,Best Direction of a Play,Mike Nichols,Luv/The Odd Couple
11/19/2021 13:35:53,1965,Best Musical,Fiddler on the Roof,Fiddler on the Roof
11/19/2021 13:36:42,1965,Best Original Score,Jerry Bock,Fiddler on the Roof
11/19/2021 13:36:42,1965,Best Original Score,Sheldon Harnick,Fiddler on the Roof
11/19/2021 13:37:23,1965,Best Play,The Subject Was Roses,The Subject Was Roses
11/19/2021 13:37:50,1965,Best Producer of a Musical,Harold Prince,Fiddler on the Roof
11/19/2021 13:38:38,1965,Best Producer of a Play,Claire Nichtern,Luv
11/19/2021 13:39:16,1965,Best Scenic Design of a Musical,Oliver Smith,Baker Street
11/19/2021 13:39:58,1966,Best Performance by an Actor in a Leading Role in a Musical,Richard Kiley,Man of La Mancha
11/19/2021 13:40:37,1966,Best Performance by an Actor in a Leading Role in a Play,Hal Holbrook,Mark Twain Tonight!
11/19/2021 13:40:58,1966,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Mame
11/19/2021 13:41:21,1966,Best Performance by an Actress in a Leading Role in a Play,Rosemary Harris,The Lion in Winter
11/19/2021 13:41:48,1966,Best Performance by an Actor in a Featured Role in a Musical,Frankie Michaels,Mame
11/19/2021 13:42:21,1966,Best Performance by an Actor in a Featured Role in a Play,Patrick Magee,Marat\Sade
11/19/2021 13:42:39,1966,Best Performance by an Actress in a Featured Role in a Musical,Beatrice Arthur,Mame
11/19/2021 13:43:11,1966,Best Performance by an Actress in a Featured Role in a Play,Zoe Caldwell,Slapstick Tragedy
11/19/2021 13:43:28,1966,Best Choreography,Bob Fosse,Sweet Charity
11/19/2021 13:44:20,1966,Best Costume Design of a Play,Gunilla Palmstierna,Weiss/Marat\Sade
11/19/2021 13:44:39,1966,Best Direction of a Musical,Albert Marre,Man of La Mancha
11/19/2021 13:44:59,1966,Best Direction of a Play,Peter Brook,Marat\Sade
11/19/2021 13:45:10,1966,Best Musical,Man of La Mancha,Man of La Mancha
11/19/2021 13:45:26,1966,Best Original Score,Mitch Leigh,Man of La Mancha
11/19/2021 13:45:26,1966,Best Original Score,Joe Darion,Man of La Mancha
11/19/2021 13:45:47,1966,Best Play,Marat\Sade,Marat\Sade
11/19/2021 13:46:08,1966,Best Scenic Design of a Musical,Howard Bay,Man of La Mancha
11/20/2021 15:08:49,1967,Best Performance by an Actor in a Leading Role in a Musical,Robert Preston,I Do! I Do!
11/20/2021 15:09:19,1967,Best Performance by an Actor in a Leading Role in a Play,Paul Rogers,The Homecoming
11/20/2021 15:10:47,1967,Best Performance by an Actress in a Leading Role in a Musical,Barbara Harris,The Apple Tree
11/20/2021 15:11:16,1967,Best Performance by an Actress in a Leading Role in a Play,Beryl Reid,The Killing of Sister George
11/20/2021 15:11:48,1967,Best Performance by an Actor in a Featured Role in a Musical,Joel Grey,Cabaret
11/20/2021 15:12:09,1967,Best Performance by an Actor in a Featured Role in a Play,Ian Holm,The Homecoming
11/20/2021 15:12:32,1967,Best Performance by an Actress in a Featured Role in a Musical,Peg Murray,Cabaret
11/20/2021 15:13:18,1967,Best Performance by an Actress in a Featured Role in a Play,Marian Seldes,A Delicate Balance
11/20/2021 15:13:43,1967,Best Choreography,Ron Field,Cabaret
11/20/2021 15:14:30,1967,Best Costume Design of a Musical,Patricia Zipprodt,Cabaret
11/20/2021 15:14:56,1967,Best Direction of a Musical,Harold Prince,Cabaret
11/20/2021 15:15:35,1967,Best Direction of a Play,Peter Hall,The Homecoming
11/20/2021 15:15:59,1967,Best Musical,Cabaret,Cabaret
11/20/2021 15:16:26,1967,Best Original Score,John Kander,Cabaret
11/20/2021 15:16:26,1967,Best Original Score,Fred Ebb,Cabaret
11/20/2021 15:16:43,1967,Best Play,The Homecoming,The Homecoming
11/20/2021 15:17:16,1967,Best Scenic Design of a Musical,Boris Aronson,Cabaret
11/20/2021 15:21:32,1968,Best Performance by an Actor in a Leading Role in a Musical,Robert Goulet,The Happy Time
11/20/2021 15:22:21,1968,Best Performance by an Actor in a Leading Role in a Play,Martin Balsam,You Know I Can't Hear You When the Water's Running
11/20/2021 15:22:51,1968,Best Performance by an Actress in a Leading Role in a Musical,Patricia Routledge,Darling of the Day
11/20/2021 15:23:19,1968,Best Performance by an Actress in a Leading Role in a Musical,Leslie Uggams,"Hallelujah, Baby!"
11/20/2021 15:23:43,1968,Best Performance by an Actress in a Leading Role in a Play,Zoe Caldwell,The Prime of Miss Jean Brodie
11/20/2021 15:24:21,1968,Best Performance by an Actor in a Featured Role in a Musical,Hiram Sherman,"How Now, Dow Jones"
11/20/2021 15:25:05,1968,Best Performance by an Actor in a Featured Role in a Play,James Patterson,The Birthday Party
11/20/2021 15:25:56,1968,Best Performance by an Actress in a Featured Role in a Musical,Lillian Hayman,"Hallelujah, Baby!"
11/20/2021 15:26:29,1968,Best Performance by an Actress in a Featured Role in a Play,Zena Walker,Joe Egg
11/20/2021 15:26:57,1968,Best Choreography,Gower Champion,The Happy Time
11/20/2021 15:27:47,1968,Best Costume Design of a Play,Desmond Heeley,Rosencrantz and Guildenstern Are Dead
11/20/2021 15:28:16,1968,Best Direction of a Musical,Gower Champion,The Happy Time
11/20/2021 15:28:45,1968,Best Direction of a Play,Mike Nichols,Plaza Suite
11/20/2021 15:29:00,1968,Best Musical,"Hallelujah, Baby!","Hallelujah, Baby!"
11/20/2021 15:29:38,1968,Best Original Score,Jule Styne,"Hallelujah, Baby!"
11/20/2021 15:29:38,1968,Best Original Score,Betty Comden,"Hallelujah, Baby!"
11/20/2021 15:29:38,1968,Best Original Score,Adolph Green,"Hallelujah, Baby!"
11/20/2021 15:30:07,1968,Best Play,Rosencrantz and Guildenstern Are Dead,Rosencrantz and Guildenstern Are Dead
11/20/2021 15:31:05,1968,Best Producer of a Musical,Albert Selden,"Hallelujah, Baby!"
11/20/2021 15:31:05,1968,Best Producer of a Musical,Hal James,"Hallelujah, Baby!"
11/20/2021 15:31:05,1968,Best Producer of a Musical,Jane C. Nusbaum,"Hallelujah, Baby!"
11/20/2021 15:31:05,1968,Best Producer of a Musical,Harry Rigby,"Hallelujah, Baby!"
11/20/2021 15:31:51,1968,Best Producer of a Play,David Merrick Arts Foundation,Rosencrantz and Guildenstern Are Dead
11/20/2021 15:32:30,1968,Best Scenic Design of a Play,Desmond Heeley,Rosencrantz and Guildenstern Are Dead
11/20/2021 15:37:17,1969,Best Performance by an Actor in a Leading Role in a Musical,Jerry Orbach,"Promises, Promises"
11/20/2021 15:38:04,1969,Best Performance by an Actor in a Leading Role in a Play,James Earl Jones,The Great White Hope
11/20/2021 15:38:27,1969,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Dear World
11/20/2021 15:38:58,1969,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,Forty Carats
11/20/2021 15:39:26,1969,Best Performance by an Actor in a Featured Role in a Musical,Ronald Holgate,1776
11/20/2021 15:40:11,1969,Best Performance by an Actor in a Featured Role in a Play,Al Pacino,Does a Tiger Wear a Necktie?
11/20/2021 15:40:49,1969,Best Performance by an Actress in a Featured Role in a Musical,Marian Mercer,"Promises, Promises"
11/20/2021 15:41:28,1969,Best Performance by an Actress in a Featured Role in a Play,Jane Alexander,The Great White Hope
11/20/2021 15:42:00,1969,Best Choreography,Joe Layton,George M!
11/20/2021 15:42:33,1969,Best Costume Design of a Musical,Louden Sainthill,Canterbury Tales
11/20/2021 15:43:34,1969,Best Direction of a Musical,Peter Hunt,1776
11/20/2021 15:44:03,1969,Best Direction of a Play,Peter Dews,Hadrian VII
11/20/2021 15:44:19,1969,Best Musical,1776,1776
11/20/2021 15:44:53,1969,Best Play,The Great White Hope,The Great White Hope
11/20/2021 15:45:12,1969,Best Scenic Design of a Musical,Boris Aronson,Zorba
11/20/2021 15:49:43,1970,Best Performance by an Actor in a Leading Role in a Musical,Cleavon Little,Purlie
11/20/2021 15:50:32,1970,Best Performance by an Actor in a Leading Role in a Play,Fritz Weaver,Child's Play
11/20/2021 15:51:02,1970,Best Performance by an Actress in a Leading Role in a Musical,Lauren Bacall,Applause
11/20/2021 15:51:44,1970,Best Performance by an Actress in a Leading Role in a Play,Tammy Grimes,Private Lives - Revival
11/20/2021 15:52:21,1970,Best Performance by an Actor in a Featured Role in a Musical,Rene Auberjonois ,Coco
11/20/2021 15:52:49,1970,Best Performance by an Actor in a Featured Role in a Play,Ken Howard,Child's Play
11/20/2021 15:53:06,1970,Best Performance by an Actress in a Featured Role in a Musical,Melba Moore,Purlie
11/20/2021 15:54:00,1970,Best Performance by an Actress in a Featured Role in a Play,Blythe Danner,Butterflies Are Free
11/20/2021 15:54:29,1970,Best Choreography,Ron Field,Applause
11/20/2021 15:55:14,1970,Best Costume Design of a Musical,Cecil Beaton,Coco
11/20/2021 15:56:03,1970,Best Direction of a Musical,Ron Field,Applause
11/20/2021 15:56:39,1970,Best Direction of a Play,Joseph Hardy,Child's Play
11/20/2021 15:57:49,1970,Best Lighting Design of a Play,Jo Mielziner,Child's Play
11/20/2021 15:58:17,1970,Best Musical,Applause,Applause
11/20/2021 15:58:45,1970,Best Play,Borstal Boy,Borstal Boy
11/20/2021 15:59:09,1970,Best Scenic Design of a Play,Jo Mielziner,Child's Play
11/20/2021 16:01:52,1971,Best Performance by an Actor in a Leading Role in a Musical,Hal Linden,The Rothschilds
11/20/2021 16:21:30,1971,Best Performance by an Actor in a Leading Role in a Play,Brian Bedford,The School for Wives
11/20/2021 16:22:31,1971,Best Performance by an Actress in a Leading Role in a Play,Helen Gallagher,"No, No Nanette - Revival"
11/20/2021 16:24:04,1971,Best Performance by an Actress in a Leading Role in a Play,Maureen Stapleton,The Gingerbread Lady
11/20/2021 16:24:55,1971,Best Performance by an Actor in a Featured Role in a Musical,Keene Curtis,The Rothschilds
11/20/2021 16:25:27,1971,Best Performance by an Actor in a Featured Role in a Play,Paul Sand,Story Theatre
11/20/2021 16:26:15,1971,Best Performance by an Actress in a Featured Role in a Musical,Patsy Kelly,"No, No Nanette - Revival"
11/20/2021 16:27:23,1971,Best Performance by an Actress in a Featured Role in a Play,Rae Allen,And Miss Reardon Drinks a Little
11/20/2021 16:27:41,1971,Best Book of a Musical,George Furth,Company
11/20/2021 16:28:25,1971,Best Choreography,Donald Saddler,"No, No, Nanette - Revival"
11/20/2021 16:29:42,1971,Best Costume Design of a Musical,Raoul Pene Du Bois,"No, No Nanette - Revival"
11/20/2021 16:30:22,1971,Best Direction of a Musical,Harold Prince,Company
11/20/2021 16:31:54,1971,Best Direction of a Play,Peter Brook,A Midsummer Night's Dream
11/20/2021 16:33:15,1971,Best Lighting Design of a Play,R.H. Poindexter,Story Theatre
11/20/2021 16:34:12,1971,Best Musical,Company,Company
11/20/2021 16:34:53,1971,Best Original Score,Stephen Sondheim,Company
11/20/2021 16:35:13,1971,Best Play,Sleuth,Sleuth
11/20/2021 16:36:23,1971,Best Producer of a Musical,Harold Prince,Company
11/20/2021 16:37:02,1971,Best Producer of a Play,Helen Bonfils,Sleuth
11/20/2021 16:37:02,1971,Best Producer of a Play,Morton Gottlieb,Sleuth
11/20/2021 16:37:02,1971,Best Producer of a Play,Michael White,Sleuth
11/20/2021 16:37:39,1971,Best Scenic Design of a Musical,Boris Aronson,Boris Aronson
11/21/2021 15:05:55,1972,Best Performance by an Actor in a Leading Role in a Musical,Phil Silvers,A Funny Thing Happened on the Way to the Forum - Revival
11/21/2021 15:06:14,1972,Best Performance by an Actor in a Leading Role in a Play,Cliff Gorman,Lenny
11/21/2021 15:06:44,1972,Best Performance by an Actress in a Leading Role in a Musical,Alexis Smith,Follies
11/21/2021 15:07:03,1972,Best Performance by an Actress in a Leading Role in a Play,Sada Thompson,Twigs
11/21/2021 15:07:51,1972,Best Performance by an Actor in a Featured Role in a Musical,Larry Blyden,A Funny Thing Happened on the Way to the Forum - Revival
11/21/2021 15:08:34,1972,Best Performance by an Actor in a Featured Role in a Play,Vincent Gardenia,The Prisoner of Second Avenue
11/21/2021 15:09:32,1972,Best Performance by an Actress in a Featured Role in a Musical,Linda Hopkins,Inner City
11/21/2021 15:09:59,1972,Best Performance by an Actress in a Featured Role in a Play,Elizabeth Wilson,Sticks and Bones
11/21/2021 15:10:43,1972,Best Book of a Musical,John Guare,Two Gentlemen of Verona
11/21/2021 15:10:43,1972,Best Book of a Musical,Mel Shapiro,Two Gentlemen of Verona
11/21/2021 15:11:14,1972,Best Choreography,Michael Bennett,Follies
11/21/2021 15:11:37,1972,Best Costume Design of a Musical,Florence Klotz,Follies
11/21/2021 15:12:02,1972,Best Direction of a Musical,Harold Prince,Follies
11/21/2021 15:12:02,1972,Best Direction of a Musical,Michael Bennett,Follies
11/21/2021 15:12:25,1972,Best Direction of a Play,Mike Nichols,The Prisoner of Second Avenue
11/21/2021 15:13:11,1972,Best Lighting Design of a Musical,Tharon Musser,Follies
11/21/2021 15:13:47,1972,Best Musical,Two Gentleman of Verona,Two Gentleman of Verona
11/21/2021 15:14:22,1972,Best Original Score,Stephen Sondheim,Follies
11/21/2021 15:15:09,1972,Best Play,Sticks and Bones,Sticks and Bones
11/21/2021 15:15:38,1972,Best Scenic Design of a Musical,Boris Aronson,Follies
11/21/2021 15:17:01,1973,Best Performance by an Actor in a Leading Role in a Musical,Ben Vereen,Pippin
11/21/2021 15:17:19,1973,Best Performance by an Actor in a Leading Role in a Play,Alan Bates,Butley
11/21/2021 15:19:47,1973,Best Performance by an Actress in a Leading Role in a Musical,Glynis Johns,A Little Night Music
11/21/2021 15:21:00,1973,Best Performance by an Actress in a Leading Role in a Play,Julie Harris,The Last of Mrs. Lincoln
11/21/2021 15:21:46,1973,Best Performance by an Actor in a Featured Role in a Musical,George S. Irving,Irene
11/21/2021 15:24:20,1973,Best Performance by an Actor in a Featured Role in a Play,John Lithgow,The Changing Room
11/21/2021 15:25:38,1973,Best Performance by an Actress in a Featured Role in a Musical,Patricia Elliott,A Little Night Music
11/21/2021 15:26:10,1973,Best Performance by an Actress in a Featured Role in a Play,Leora Dana,The Last of Mrs. Lincoln
11/21/2021 15:26:58,1973,Best Book of a Musical,Hugh Wheeler,A Little Night Music
11/21/2021 15:27:16,1973,Best Choreography,Bob Fosse,Pippin
11/21/2021 15:27:38,1973,Best Costume Design of a Musical,Florence Klotz,A Little Night Music
11/21/2021 15:27:54,1973,Best Direction of a Musical,Bob Fosse,Pippin
11/21/2021 15:28:19,1973,Best Direction of a Play,A.J. Antoon,That Championship Season
11/21/2021 15:30:22,1973,Best Lighting Design of a Musical,Jules Fisher,Pippin
11/21/2021 15:30:57,1973,Best Musical,A Little Night Music,A Little Night Music
11/21/2021 15:31:13,1973,Best Original Score,Stephen Sondheim,A Little Night Music
11/21/2021 15:31:43,1973,Best Play,That Championship Season,That Championship Season
11/21/2021 15:32:35,1973,Best Scenic Design of a Musical,Tony Walton,Pippin
11/21/2021 15:35:09,1974,Best Performance by an Actor in a Leading Role in a Musical,Christopher Plummer,Cyrano
11/21/2021 15:35:52,1974,Best Performance by an Actor in a Leading Role in a Play,Michael Moriarty,Find Your Way Home
11/21/2021 15:36:44,1974,Best Performance by an Actress in a Leading Role in a Musical,Virginia Capers,Raisin
11/21/2021 15:37:21,1974,Best Performance by an Actress in a Leading Role in a Play,Colleen Dewhurst,A Moon for the Misbegotten
11/21/2021 15:37:54,1974,Best Performance by an Actor in a Featured Role in a Musical,Tommy Tune,Seesaw
11/21/2021 15:38:44,1974,Best Performance by an Actor in a Featured Role in a Play,Ed Flanders,A Moon for the Misbegotten
11/21/2021 15:39:04,1974,Best Performance by an Actress in a Featured Role in a Musical,Janie Sell,Over Here!
11/21/2021 15:40:03,1974,Best Performance by an Actress in a Featured Role in a Play,Frances Sternhagen,The Good Doctor
11/21/2021 15:40:20,1974,Best Book of a Musical,Candide,Hugh Wheeler
11/21/2021 15:41:40,1974,Best Choreography,Michael Bennett,Seesaw
11/21/2021 15:42:05,1974,Best Costume Design of a Musical,Franne Lee,Candide
11/21/2021 15:42:25,1974,Best Direction of a Musical,Harold Prince,Candide
11/21/2021 15:43:02,1974,Best Direction of a Play,Jose Quintero,A Moon for the Misbegotten
11/21/2021 15:43:39,1974,Best Lighting Design of a Play,Jules Fisher,Ulysses in Nighttown
11/21/2021 15:44:04,1974,Best Musical,Raisin,Raisin
11/21/2021 15:44:48,1974,Best Original Score,Alan Jay Lerner,Gigi
11/21/2021 15:44:48,1974,Best Original Score,Frederick Loewe,Gigi
11/21/2021 15:46:04,1974,Best Play,The River Niger,The River Niger
11/21/2021 15:46:45,1974,Best Scenic Design of a Musical,Franne Lee,Candide
11/21/2021 15:46:45,1974,Best Scenic Design of a Musical,Eugene Lee,Candide
11/21/2021 15:50:01,1975,Best Performance by an Actor in a Leading Role in a Musical,John Cullum,Shenandoah
11/21/2021 15:51:19,1975,Best Performance by an Actor in a Leading Role in a Play,John Kani,Sizwe Banzi is Dead and The Island
11/21/2021 15:51:19,1975,Best Performance by an Actor in a Leading Role in a Play,Winston Ntshona,Sizwe Banzi is Dead and The Island
11/21/2021 15:52:19,1975,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Gypsy - Revival
11/21/2021 15:52:53,1975,Best Performance by an Actress in a Leading Role in a Play,Ellen Burstyn,"Same Time, Next Year"
11/21/2021 15:53:14,1975,Best Performance by an Actor in a Featured Role in a Musical,Ted Ross,The Wiz
11/21/2021 15:53:33,1975,Best Performance by an Actor in a Featured Role in a Play,Frank Langella,Seascape
11/21/2021 15:53:52,1975,Best Performance by an Actor in a Featured Role in a Musical,Dee Dee Bridgewater,The Wiz
11/21/2021 15:54:17,1975,Best Performance by an Actress in a Featured Role in a Play,Rita Moreno,The Ritz
11/21/2021 15:55:24,1975,Best Book of a Musical,James Lee Barrett,Shenandoah
11/21/2021 15:55:24,1975,Best Book of a Musical,Peter Udell,Shenandoah
11/21/2021 15:55:24,1975,Best Book of a Musical,Philip Rose,Shenandoah
11/21/2021 15:56:11,1975,Best Choreography,George Faison,The Wiz
11/21/2021 15:56:37,1975,Best Costume Design of a Musical,Geoffrey Holder,The Wiz
11/21/2021 15:57:05,1975,Best Direction of a Musical,Geoffrey Holder,The Wiz
11/21/2021 15:57:28,1975,Best Direction of a Play,John Dexter,Equus
11/21/2021 15:58:16,1975,Best Lighting Design of a Play,Neil Peter Jampolis,Sherlock Holmes
11/21/2021 15:58:33,1975,Best Musical,The Wiz,The Wiz
11/21/2021 15:58:49,1975,Best Original Score,Charlie Smalls,The Wiz
11/21/2021 15:59:04,1975,Best Play,Equus,Equus
11/21/2021 15:59:36,1975,Best Scenic Design of a Play,Carl Toms,Sherlock Holmes
11/23/2021 13:18:23,1976,Best Performance by an Actor in a Leading Role in a Musical,George Rose,My Fair Lady
11/23/2021 13:18:41,1976,Best Performance by an Actor in a Leading Role in a Play,John Wood,Travesties
11/23/2021 13:19:14,1976,Best Performance by an Actress in a Leading Role in a Musical,Donna McKechnie,A Chorus Line
11/23/2021 13:19:45,1976,Best Performance by an Actress in a Leading Role in a Play,Irene Worth,Sweet Bird of Youth
11/23/2021 13:20:07,1976,Best Performance by an Actor in a Featured Role in a Musical,Sammy Williams,A Chorus Line
11/23/2021 13:20:42,1976,Best Performance by an Actor in a Featured Role in a Play,Edward Herrmann,Mrs. Warren's Profession
11/23/2021 13:21:07,1976,Best Performance by an Actress in a Featured Role in a Musical,Carole Bishop,A Chorus Line
11/23/2021 13:21:28,1976,Best Performance by an Actress in a Featured Role in a Play,Shirley Knight,Kennedy's Children
11/23/2021 13:22:39,1976,Best Book of a Musical,Nicholas Dante,A Chorus Line
11/23/2021 13:22:39,1976,Best Book of a Musical,James Kirkwood,A Chorus Line
11/23/2021 13:23:17,1976,Best Choreography,Michael Bennett,A Chorus Line
11/23/2021 13:23:17,1976,Best Choreography,Bob Avian,A Chorus Line
11/23/2021 13:25:01,1976,Best Costume Design of a Musical,Florence Klotz,Pacific Overtures
11/23/2021 13:26:37,1976,Best Direction of a Musical,Michael Bennett,A Chorus Line
11/23/2021 13:26:57,1976,Best Direction of a Play,Ellis Rabb,The Royal Family
11/23/2021 13:27:21,1976,Best Lighting Design of a Musical,Tharon Musser,A Chorus Line
11/23/2021 13:27:44,1976,Best Musical,A Chorus Line,A Chorus Line
11/23/2021 13:28:39,1976,Best Original Score,Marvin Hamlisch,A Chorus Line
11/23/2021 13:28:39,1976,Best Original Score,Edward Kleban,A Chorus Line
11/23/2021 13:28:59,1976,Best Play,Travesties,Travesties
11/23/2021 13:29:47,1976,Best Scenic Design of a Musical,Boris Aronson,Pacific Overtures
11/24/2021 10:43:46,1977,Best Performance by an Actor in a Leading Role in a Musical,Barry Bostwick,The Robber Bridegroom
